name
Nightclub
Las Dalias - Akasha
Eden
Club Chinois
Boat Parties - Playa d'en Bossa
Boat Parties - San Antonio
Ibiza Rocks Hotel
Es Paradis
Amnesia
Pacha
Dalt Vila
O Beach Ibiza
Hï Ibiza
Ushuaïa
Destino
Playa Soleil
DC10
Lío Ibiza
Cova Santa
Hard Rock Hotel
528 Ibiza
